[05-Feb-2023 10:29:14 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:29:14 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:29:14 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:29:14 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:29:14 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:06 Europe/Dublin] PHP Deprecated:  Directive 'track_errors' is deprecated in Unknown on line 0
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Deprecated:  Directive 'track_errors' is deprecated in Unknown on line 0
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:08 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:21 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:38:21 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:21 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:21 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:38:21 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:21 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:25 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:38:25 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:25 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:25 Europe/Dublin] PHP Deprecated:  The behavior of unparenthesized expressions containing both '.' and '+'/'-' will change in PHP 8: '+'/'-' will take a higher precedence in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\process\form_process.php on line 398
[05-Feb-2023 10:38:25 Europe/Dublin] PHP Warning:  require(C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php): failed to open stream: No such file or directory in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
[05-Feb-2023 10:38:25 Europe/Dublin] PHP Fatal error:  require(): Failed opening required 'C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes/../../escpos-php/vendor/autoload.php' (include_path='.;C:\php\pear') in C:\Users\reza\Documents\GitHub\inbentory_cli\html\inventory_1\backend\includes\print.php on line 3
